player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Jarrett Allen,26,CLE,C,82,82,28.0,5.5,7.8,706,0.0,0.1,0,5.5,7.7,712,706,2.4,3.4,718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5
Jalen Duren,21,DET,C,78,78,26.1,4.8,7.0,692,0.0,0.0,0,4.8,7.0,692,692,2.1,3.1,669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8
Rudy Gobert,32,MIN,C,72,72,33.2,4.7,7.1,669,0.0,0.0,0,4.7,7.1,669,669,2.6,3.8,674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12.0
Luke Kornet,29,BOS,C,73,16,18.6,2.6,3.8,668,0.0,0.0,0,2.6,3.8,675,668,0.9,1.3,691,2.6,2.7,5.3,1.6,0.5,1.0,0.4,1.6,6.0
Keon Ellis,25,SAC,SG,80,28,24.4,2.8,5.8,489,1.7,4.0,433,1.1,1.8,615,639,0.9,1.1,849,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,8.3
Christian Braun,23,DEN,SG,79,77,33.9,6.0,10.4,580,1.1,2.8,397,4.9,7.6,648,634,2.2,2.7,827,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4
Ivica Zubac,27,LAC,C,80,80,32.8,7.4,11.8,628,0.0,0.0,0,7.4,11.8,628,628,2.0,3.0,661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8
Sam Hauser,27,BOS,PF,71,19,21.7,3.0,6.7,451,2.3,5.6,416,0.7,1.1,640,627,0.2,0.2,1.000,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5
Nikola Jokić,29,DEN,C,70,70,36.7,11.2,19.5,576,2.0,4.7,417,9.3,14.8,627,627,5.2,6.4,800,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6
Domantas Sabonis,28,SAC,C,70,70,34.7,7.5,12.8,590,0.9,2.2,417,6.6,10.5,627,627,3.1,4.1,754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1
Harrison Barnes,32,SAS,PF,82,82,27.2,4.2,8.3,508,1.9,4.4,433,2.3,3.9,591,622,2.0,2.4,809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,12.3
Nicolas Batum,36,LAC,PF,78,8,17.5,1.3,3.1,437,1.1,2.6,433,0.2,0.4,457,622,0.2,0.3,810,0.6,2.2,2.8,1.1,0.7,0.5,0.4,1.4,4.0
Obi Toppin,26,IND,PF,79,4,19.6,4.0,7.6,529,1.4,3.8,365,2.6,3.8,695,621,1.1,1.4,781,0.7,3.3,4.0,1.6,0.6,0.4,0.9,1.4,10.5
Payton Pritchard,27,BOS,PG,80,3,28.4,5.1,10.8,472,3.2,7.8,407,1.9,3.0,642,620,0.9,1.1,845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3
Mason Plumlee,34,PHO,C,74,21,17.6,1.7,2.7,619,0.0,0.1,0,1.7,2.7,631,619,1.1,1.7,648,1.6,4.6,6.1,1.8,0.4,0.6,0.8,2.1,4.5
Goga Bitadze,25,ORL,C,70,42,20.4,3.0,4.8,611,0.0,0.4,107,2.9,4.4,656,615,1.2,1.9,639,2.4,4.2,6.6,2.0,0.7,1.4,1.0,2.1,7.2
A.J. Green,25,MIL,SG,73,7,22.7,2.5,5.8,429,2.1,5.0,427,0.4,0.8,443,612,0.3,0.4,815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4
Zach LaVine,29,2TM,SG,74,74,35.2,8.4,16.5,511,3.2,7.2,446,5.2,9.3,562,609,3.2,3.9,825,0.3,4.0,4.3,4.2,0.8,0.2,2.8,1.6,23.3
Luke Kennard,28,MEM,SG,65,11,22.6,3.2,6.6,478,1.7,4.0,433,1.4,2.6,547,609,0.8,0.9,895,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9
Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.8,19.7,601,0.2,0.9,222,11.6,18.7,620,607,6.5,10.6,617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4
Ty Jerome,27,CLE,SG,70,3,19.9,4.6,8.8,516,1.6,3.6,439,3.0,5.2,570,606,1.8,2.1,872,0.7,1.8,2.5,3.4,1.1,0.0,1.3,1.5,12.5
Evan Mobley,23,CLE,PF,71,71,30.5,7.1,12.8,557,1.2,3.2,370,5.9,9.5,621,604,3.1,4.3,725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5
Isaiah Joe,25,OKC,SG,74,16,21.7,3.5,7.9,440,2.6,6.3,412,0.9,1.6,549,604,0.6,0.8,821,0.6,2.1,2.6,1.6,0.6,0.1,0.5,1.5,10.2
Onyeka Okongwu,24,ATL,C,74,40,27.9,5.2,9.2,567,0.6,2.0,324,4.6,7.2,634,602,2.2,2.9,759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4
Zach Edey,22,MEM,C,66,55,21.5,3.8,6.6,580,0.3,0.8,346,3.5,5.8,612,600,1.4,1.9,709,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2
