player_name,age,team,position,games,games_started,minutes,pts,ast,orb,drb,trb,stl,blk
Jarrett Allen,26,CLE,C,82,82,28.0,13.5,1.9,2.6,7.1,9.7,0.9,0.9
Jalen Duren,21,DET,C,78,78,26.1,11.8,2.7,3.6,6.8,10.3,0.7,1.1
Rudy Gobert,32,MIN,C,72,72,33.2,12.0,1.8,3.7,7.2,10.9,0.8,1.4
Luke Kornet,29,BOS,C,73,16,18.6,6.0,1.6,2.6,2.7,5.3,0.5,1.0
Keon Ellis,25,SAC,SG,80,28,24.4,8.3,1.5,0.8,1.9,2.7,1.5,0.8
Christian Braun,23,DEN,SG,79,77,33.9,15.4,2.6,1.2,3.9,5.2,1.1,0.5
Ivica Zubac,27,LAC,C,80,80,32.8,16.8,2.7,3.8,8.9,12.6,0.7,1.1
Sam Hauser,27,BOS,PF,71,19,21.7,8.5,0.9,0.6,2.5,3.2,0.6,0.2
Nikola Jokić,29,DEN,C,70,70,36.7,29.6,10.2,2.9,9.9,12.7,1.8,0.6
Domantas Sabonis,28,SAC,C,70,70,34.7,19.1,6.0,3.8,10.1,13.9,0.7,0.4
Harrison Barnes,32,SAS,PF,82,82,27.2,12.3,1.7,1.2,2.6,3.8,0.5,0.2
Nicolas Batum,36,LAC,PF,78,8,17.5,4.0,1.1,0.6,2.2,2.8,0.7,0.5
Obi Toppin,26,IND,PF,79,4,19.6,10.5,1.6,0.7,3.3,4.0,0.6,0.4
Payton Pritchard,27,BOS,PG,80,3,28.4,14.3,3.5,1.3,2.6,3.8,0.9,0.2
Mason Plumlee,34,PHO,C,74,21,17.6,4.5,1.8,1.6,4.6,6.1,0.4,0.6
Goga Bitadze,25,ORL,C,70,42,20.4,7.2,2.0,2.4,4.2,6.6,0.7,1.4
A.J. Green,25,MIL,SG,73,7,22.7,7.4,1.5,0.2,2.1,2.4,0.5,0.1
Zach LaVine,29,2TM,SG,74,74,35.2,23.3,4.2,0.3,4.0,4.3,0.8,0.2
Luke Kennard,28,MEM,SG,65,11,22.6,8.9,3.3,0.6,2.2,2.8,0.8,0.1
Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,30.4,6.5,2.2,9.7,11.9,0.9,1.2
Ty Jerome,27,CLE,SG,70,3,19.9,12.5,3.4,0.7,1.8,2.5,1.1,0.0
Evan Mobley,23,CLE,PF,71,71,30.5,18.5,3.2,2.3,7.0,9.3,0.9,1.6
Isaiah Joe,25,OKC,SG,74,16,21.7,10.2,1.6,0.6,2.1,2.6,0.6,0.1
Onyeka Okongwu,24,ATL,C,74,40,27.9,13.4,2.3,3.0,5.9,8.9,0.9,0.9
Zach Edey,22,MEM,C,66,55,21.5,9.2,1.0,3.5,4.8,8.3,0.5,1.3
Taurean Prince,30,MIL,SF,80,73,27.1,8.2,1.9,0.4,3.2,3.6,1.0,0.2
Brook Lopez,36,MIL,C,80,80,31.8,13.0,1.8,1.4,3.6,5.0,0.6,1.9
Seth Curry,34,CHO,SG,68,14,15.6,6.5,0.9,0.4,1.3,1.7,0.4,0.1
Moussa Diabaté,23,CHO,C,71,8,17.5,5.7,0.8,2.6,3.5,6.2,0.6,0.6
Michael Porter Jr.,26,DEN,SF,77,77,33.7,18.2,2.1,1.8,5.2,7.0,0.6,0.5
Georges Niang,31,2TM,PF,79,3,21.5,9.9,1.4,0.6,2.8,3.4,0.4,0.2
Derrick Jones Jr.,27,LAC,SF,77,55,24.3,10.1,0.8,1.2,2.2,3.4,1.0,0.4
Guerschon Yabusele,29,PHI,C,70,43,27.1,11.0,2.1,1.9,3.7,5.6,0.8,0.3
Nikola Vučević,34,CHI,C,73,72,31.2,18.5,3.5,2.4,7.6,10.1,0.8,0.7
Brice Sensabaugh,21,UTA,SF,71,15,20.2,10.9,1.5,0.6,2.4,3.0,0.6,0.1
Isaiah Stewart,23,DET,C,72,4,19.9,6.0,1.7,1.8,3.7,5.5,0.4,1.4
Karl-Anthony Towns,29,NYK,C,72,72,35.0,24.4,3.1,2.9,9.8,12.8,1.0,0.7
Thomas Bryant,27,2TM,C,66,8,14.6,6.5,0.8,1.3,2.5,3.8,0.4,0.6
Tyrese Haliburton,24,IND,PG,73,73,33.6,18.6,9.2,0.6,3.0,3.5,1.4,0.7
Duncan Robinson,30,MIA,SF,74,37,24.1,11.0,2.4,0.2,2.0,2.3,0.5,0.1
Derrick White,30,BOS,SG,76,76,33.9,16.4,4.8,0.9,3.6,4.5,0.9,1.1
Royce O'Neale,31,PHO,SF,75,22,24.5,9.1,2.2,0.7,3.9,4.7,0.9,0.5
Josh Hart,29,NYK,SG,77,77,37.6,13.6,5.9,2.1,7.5,9.6,1.5,0.4
Malik Beasley,28,DET,SG,82,18,27.8,16.3,1.7,0.6,2.0,2.6,0.9,0.1
Luguentz Dort,25,OKC,SF,71,71,29.2,10.1,1.6,1.3,2.9,4.1,1.1,0.5
Aaron Wiggins,26,OKC,SG,76,26,22.9,12.0,1.8,1.1,2.8,3.9,0.8,0.2
Myles Turner,28,IND,C,72,72,30.2,15.6,1.5,1.3,5.3,6.5,0.8,2.0
Kyle Filipowski,21,UTA,C,72,27,21.1,9.6,1.9,1.6,4.6,6.1,0.7,0.3
Santi Aldama,24,MEM,PF,65,16,25.5,12.5,2.9,1.4,5.0,6.4,0.8,0.4
Dalton Knecht,23,LAL,SF,78,16,19.2,9.1,0.8,0.5,2.3,2.8,0.3,0.1
Kenrich Williams,30,OKC,PF,69,7,16.4,6.3,1.4,0.9,2.6,3.5,0.6,0.1
Jarace Walker,21,IND,PF,75,5,15.8,6.1,1.5,0.3,2.7,3.1,0.7,0.3
Amen Thompson,22,HOU,SF,69,42,32.2,14.1,3.8,2.8,5.4,8.2,1.4,1.3
Haywood Highsmith,28,MIA,SF,74,42,24.6,6.5,1.5,1.0,2.4,3.4,0.9,0.5
Pascal Siakam,30,IND,PF,78,78,32.7,20.2,3.4,1.7,5.2,6.9,0.9,0.5
Stephen Curry,36,GSW,PG,70,70,32.2,24.5,6.0,0.6,3.9,4.4,1.1,0.4
LeBron James,40,LAL,SF,70,70,34.9,24.4,8.2,1.0,6.8,7.8,1.0,0.6
Mikal Bridges,28,NYK,SF,82,82,37.0,17.6,3.7,0.9,2.3,3.2,0.9,0.5
Amir Coffey,27,LAC,SG,72,13,24.3,9.7,1.1,0.4,1.8,2.2,0.6,0.1
Tyus Jones,28,PHO,PG,81,58,26.8,10.2,5.3,0.5,1.9,2.4,0.9,0.1
Terance Mann,28,2TM,SG,67,13,21.1,7.7,1.8,1.0,2.0,3.0,0.7,0.2
Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,32.7,6.4,0.9,4.1,5.0,1.7,1.0
Nic Claxton,25,BRK,C,70,62,26.9,10.3,2.2,2.2,5.1,7.4,0.9,1.4
Gary Trent Jr.,26,MIL,SG,74,9,25.6,11.1,1.2,0.3,2.0,2.3,1.0,0.1
Sam Merrill,28,CLE,SG,71,4,19.7,7.2,1.5,0.5,1.7,2.2,0.7,0.2
Quentin Grimes,24,2TM,SG,75,37,26.8,14.6,3.0,0.8,3.5,4.3,1.0,0.3
Desmond Bane,26,MEM,SG,69,68,32.0,19.2,5.3,0.9,5.2,6.1,1.2,0.4
Jake LaRavia,23,2TM,PF,66,0,20.4,6.9,2.4,1.4,2.6,3.9,0.9,0.3
Tyler Herro,25,MIA,SG,77,77,35.4,23.9,5.5,0.5,4.7,5.2,0.9,0.2
Darius Garland,25,CLE,PG,75,75,30.7,20.6,6.7,0.6,2.2,2.9,1.2,0.1
Donovan Clingan,20,POR,C,67,37,19.8,6.5,1.1,3.2,4.6,7.9,0.5,1.6
OG Anunoby,27,NYK,PF,74,74,36.6,18.0,2.2,1.3,3.5,4.8,1.5,0.9
Jonas Valančiūnas,32,2TM,C,81,21,18.8,10.4,2.0,2.3,5.4,7.7,0.5,0.6
Davion Mitchell,26,2TM,PG,74,37,27.4,7.9,4.9,0.5,1.8,2.3,1.0,0.2
Austin Reaves,26,LAL,SG,73,73,34.9,20.2,5.8,0.8,3.7,4.5,1.1,0.3
Naz Reid,25,MIN,C,80,17,27.5,14.2,2.3,1.2,4.9,6.0,0.7,0.9
